cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
13,50,3,4135421.0,"[""100000008346837100"", ""100000005074393100"", ""100000004183610100"", ""100000003718715100"", ""100000006424479100""]","Гипотеза: получение средств из других сообществ; узлов=50, seed=3; внутри=4135421.00, вход=787305.00, выход=380817.00 KZT; 4-е колено=13. Только наблюдаемые потоки; роль не установлена."
14,44,0,10215968.84,"[""100000002963189100"", ""100000005933757100"", ""100000002605308100"", ""100000001937767100"", ""100000008517061100""]","Гипотеза: преимущественно внутренний оборот; узлов=44, seed=0; внутри=10215968.84, вход=243701.00, выход=527149.00 KZT; 4-е колено=7. Только наблюдаемые потоки; роль не установлена."
15,41,3,4888834.28,"[""100000004156082100"", ""100000008418835100"", ""100000004269433100"", ""100000003221384100"", ""100000005339662100""]","Гипотеза: преимущественно внутренний оборот; узлов=41, seed=3; внутри=4888834.28, вход=254329.00, выход=315760.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
16,41,0,5151924.19,"[""100000003242289100"", ""100000008512552100"", ""100000008413748100"", ""100000002713074100"", ""100000003964910100""]","Гипотеза: смешанный обмен между сообществами; узлов=41, seed=0; внутри=5151924.19, вход=919297.00, выход=661478.30 KZT; 4-е колено=9. Только наблюдаемые потоки; роль не установлена."
17,30,0,8045494.0,"[""100000001887715100"", ""100000008710843100"", ""100000008743913100"", ""100000008758168100"", ""100000001303311100""]","Гипотеза: смешанный обмен между сообществами; узлов=30, seed=0; внутри=8045494.00, вход=1212920.00, выход=907310.00 KZT; 4-е колено=3. Только наблюдаемые потоки; роль не установлена."
18,30,1,6513430.0,"[""100000007594394100"", ""100000006274203100"", ""100000003854444100"", ""100000001690558100"", ""100000002799941100""]","Гипотеза: преимущественно внутренний оборот; узлов=30, seed=1; внутри=6513430.00, вход=436127.00, выход=147115.00 KZT; 4-е колено=5. Только наблюдаемые потоки; роль не установлена."
19,29,0,446070.0,"[""100000008460102100"", ""100000004891562100"", ""100000002706810100"", ""100000008715513100"", ""100000002670463100""]","Гипотеза: преимущественно внутренний оборот; узлов=29, seed=0; внутри=446070.00, вход=23900.00, выход=30500.00 KZT; 4-е колено=27. Только наблюдаемые потоки; роль не установлена."
20,26,14,2289450.0,"[""100000004041163100"", ""100000005523088100"", ""100000004403675100"", ""100000005382566100"", ""100000003190207100""]","Гипотеза: преимущественно внутренний оборот; узлов=26, seed=14; внутри=2289450.00, вход=203680.00, выход=101495.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
21,20,0,617900.0,"[""100000003154105100"", ""100000006308406100"", ""100000001427082100"", ""100000000723383100"", ""100000002185328100""]","Гипотеза: преимущественно внутренний оборот; узлов=20, seed=0; внутри=617900.00, вход=16800.00, выход=0.00 KZT; 4-е колено=15. Только наблюдаемые потоки; роль не установлена."
22,18,0,3422800.0,"[""100000003701161100"", ""100000002267998100"", ""100000008137435100"", ""100000003718221100"", ""100000003104347100""]","Гипотеза: преимущественно внутренний оборот; узлов=18, seed=0; внутри=3422800.00, вход=302009.00, выход=51400.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
23,17,1,21586840.0,"[""100000002224132100"", ""100000003835149100"", ""100000001965374100"", ""100000004892144100"", ""100000004603109100""]","Гипотеза: преимущественно внутренний оборот; узлов=17, seed=1; внутри=21586840.00, вход=17000.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
24,17,1,2977887.0,"[""100000004160650100"", ""100000002731501100"", ""100000004007116100"", ""100000003275398100"", ""100000003616818100""]","Гипотеза: преимущественно внутренний оборот; узлов=17, seed=1; внутри=2977887.00, вход=0.00, выход=0.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
25,15,0,850450.0,"[""100000002472632100"", ""100000001526235100"", ""100000001788284100"", ""100000000860514100"", ""100000005505655100""]","Гипотеза: преимущественно внутренний оборот; узлов=15, seed=0; внутри=850450.00, вход=13070.00, выход=0.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
26,15,0,3626010.0,"[""100000008461532100"", ""100000000791285100"", ""100000006704530100"", ""100000003122817100"", ""100000003470579100""]","Гипотеза: преимущественно внутренний оборот; узлов=15, seed=0; внутри=3626010.00, вход=5300.00, выход=0.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
27,15,0,3436955.0,"[""100000004221668100"", ""100000005171642100"", ""100000002152857100"", ""100000006240939100"", ""100000002459093100""]","Гипотеза: преимущественно внутренний оборот; узлов=15, seed=0; внутри=3436955.00, вход=541373.00, выход=190000.00 KZT; 4-е колено=3. Только наблюдаемые потоки; роль не установлена."
28,14,0,1605604.0,"[""100000007382543100"", ""100000008213966100"", ""100000000838385100"", ""100000003001661100"", ""100000004407753100""]","Гипотеза: преимущественно внутренний оборот; узлов=14, seed=0; внутри=1605604.00, вход=31000.00, выход=0.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
29,13,1,1392916.0,"[""100000001782980100"", ""100000003164661100"", ""100000001380054100"", ""100000006232815100"", ""100000005077484100""]","Гипотеза: преимущественно внутренний оборот; узлов=13, seed=1; внутри=1392916.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
30,13,0,6748650.0,"[""100000008258083100"", ""100000007442518100"", ""100000000673868100"", ""100000000821507100"", ""100000002911170100""]","Гипотеза: преимущественно внутренний оборот; узлов=13, seed=0; внутри=6748650.00, вход=395000.00, выход=99999.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
31,11,0,3784703.0,"[""100000001317336100"", ""100000002175422100"", ""100000005042822100"", ""100000003557488100"", ""100000000733940100""]","Гипотеза: преимущественно внутренний оборот; узлов=11, seed=0; внутри=3784703.00, вход=68702.80, выход=0.00 KZT; 4-е колено=3. Только наблюдаемые потоки; роль не установлена."
32,10,0,1929434.85,"[""100000007629096100"", ""100000002741024100"", ""100000007639767100"", ""100000001439416100"", ""100000007511780100""]","Гипотеза: смешанный обмен между сообществами; узлов=10, seed=0; внутри=1929434.85, вход=342868.00, выход=263994.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
33,10,0,322010.0,"[""100000008172352100"", ""100000000993112100"", ""100000002691858100"", ""100000007322059100"", ""100000001597505100""]","Гипотеза: получение средств из других сообществ; узлов=10, seed=0; внутри=322010.00, вход=90265.00, выход=12920.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
34,10,0,1727065.0,"[""100000004017410100"", ""100000005767403100"", ""100000005519998100"", ""100000004076740100"", ""100000004336312100""]","Гипотеза: преимущественно внутренний оборот; узлов=10, seed=0; внутри=1727065.00, вход=46250.00, выход=8000.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
35,9,0,1406982.0,"[""100000002217161100"", ""100000001445848100"", ""100000007647294100"", ""100000008254576100"", ""100000002242066100""]","Гипотеза: преимущественно внутренний оборот; узлов=9, seed=0; внутри=1406982.00, вход=52900.00, выход=0.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
36,8,0,2473417.91,"[""100000004906181100"", ""100000008175078100"", ""100000008675322100"", ""100000000557536100"", ""100000008349740100""]","Гипотеза: преимущественно внутренний оборот; узлов=8, seed=0; внутри=2473417.91, вход=100000.00, выход=0.00 KZT; 4-е колено=7. Только наблюдаемые потоки; роль не установлена."
37,8,0,389000.0,"[""100000005507142100"", ""100000002612809100"", ""100000001825934100"", ""100000005264874100"", ""100000002214207100""]","Гипотеза: преимущественно внутренний оборот; узлов=8, seed=0; внутри=389000.00, вход=23000.00, выход=0.00 KZT; 4-е колено=4. Только наблюдаемые потоки; роль не установлена."
38,8,3,4597161.0,"[""100000001732159100"", ""100000008637537100"", ""100000003404627100"", ""100000008314203100"", ""100000008232832100""]","Гипотеза: преимущественно внутренний оборот; узлов=8, seed=3; внутри=4597161.00, вход=302638.00, выход=120880.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
39,7,0,143000.0,"[""100000004508696100"", ""100000002217806100"", ""100000004549591100"", ""100000005911352100"", ""100000000507799100""]","Гипотеза: преимущественно внутренний оборот; узлов=7, seed=0; внутри=143000.00, вход=5132.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
40,7,0,3077000.0,"[""100000002241986100"", ""100000001053894100"", ""100000002594214100"", ""100000004047887100"", ""100000001286703100""]","Гипотеза: преимущественно внутренний оборот; узлов=7, seed=0; внутри=3077000.00, вход=280000.00, выход=0.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
41,7,0,1765600.0,"[""100000007392365100"", ""100000007865484100"", ""100000008551752100"", ""100000003631015100"", ""100000004976946100""]","Гипотеза: преимущественно внутренний оборот; узлов=7, seed=0; внутри=1765600.00, вход=9613.00, выход=0.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
42,7,0,1268308.0,"[""100000006169033100"", ""100000008011159100"", ""100000006232642100"", ""100000003664994100"", ""100000005754335100""]","Гипотеза: преимущественно внутренний оборот; узлов=7, seed=0; внутри=1268308.00, вход=17000.00, выход=25000.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
43,6,1,1615030.0,"[""100000008659445100"", ""100000008193577100"", ""100000008736940100"", ""100000005456919100"", ""100000008751429100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=1; внутри=1615030.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
44,6,1,1527967.0,"[""100000000580561100"", ""100000007939160100"", ""100000005183943100"", ""100000003888271100"", ""100000000955444100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=1; внутри=1527967.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
45,6,0,2540000.0,"[""100000004717647100"", ""100000004479404100"", ""100000002922000100"", ""100000002659103100"", ""100000001533161100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=0; внутри=2540000.00, вход=12000.00, выход=0.00 KZT; 4-е колено=4. Только наблюдаемые потоки; роль не установлена."
46,6,1,275885.0,"[""100000005485830100"", ""100000005895525100"", ""100000002462183100"", ""100000005056870100"", ""100000007175718100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=1; внутри=275885.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
47,6,0,2534500.0,"[""100000004722765100"", ""100000005075949100"", ""100000003747133100"", ""100000006527156100"", ""100000002578653100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=0; внутри=2534500.00, вход=237068.00, выход=0.00 KZT; 4-е колено=3. Только наблюдаемые потоки; роль не установлена."
48,6,0,720900.0,"[""100000008761219100"", ""100000006638021100"", ""100000007472293100"", ""100000008333492100"", ""100000002794374100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=0; внутри=720900.00, вход=55000.00, выход=0.00 KZT; 4-е колено=4. Только наблюдаемые потоки; роль не установлена."
49,6,1,383300.0,"[""100000004331458100"", ""100000005547096100"", ""100000008575624100"", ""100000004094958100"", ""100000005546031100""]","Гипотеза: преимущественно внутренний оборот; узлов=6, seed=1; внутри=383300.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
50,5,0,1189154.0,"[""100000004670388100"", ""100000000291906100"", ""100000004722630100"", ""100000000291908100"", ""100000004691350100""]","Гипотеза: преимущественно внутренний оборот; узлов=5, seed=0; внутри=1189154.00, вход=8000.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
51,5,0,172000.0,"[""100000004659919100"", ""100000005031696100"", ""100000002700161100"", ""100000001223977100"", ""100000008461217100""]","Гипотеза: преимущественно внутренний оборот; узлов=5, seed=0; внутри=172000.00, вход=5000.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
52,5,1,2809200.0,"[""100000004135268100"", ""100000008571433100"", ""100000004979498100"", ""100000007507343100"", ""100000002738256100""]","Гипотеза: преимущественно внутренний оборот; узлов=5, seed=1; внутри=2809200.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
53,5,2,108007.0,"[""100000006249740100"", ""100000006562026100"", ""100000007347733100"", ""100000006831291100"", ""100000008129393100""]","Гипотеза: преимущественно внутренний оборот; узлов=5, seed=2; внутри=108007.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
54,4,0,518000.0,"[""100000002205022100"", ""100000003163886100"", ""100000000629812100"", ""100000001380107100""]","Гипотеза: преимущественно внутренний оборот; узлов=4, seed=0; внутри=518000.00, вход=17100.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
55,4,1,1404980.0,"[""100000001872484100"", ""100000008601794100"", ""100000000785800100"", ""100000002459163100""]","Гипотеза: преимущественно внутренний оборот; узлов=4, seed=1; внутри=1404980.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
56,4,0,1595700.0,"[""100000001052945100"", ""100000001131403100"", ""100000004616845100"", ""100000005146665100""]","Гипотеза: преимущественно внутренний оборот; узлов=4, seed=0; внутри=1595700.00, вход=56520.00, выход=0.00 KZT; 4-е колено=3. Только наблюдаемые потоки; роль не установлена."
57,4,0,832800.0,"[""100000008625905100"", ""100000001065234100"", ""100000002194320100"", ""100000003159641100""]","Гипотеза: преимущественно внутренний оборот; узлов=4, seed=0; внутри=832800.00, вход=64000.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
58,4,1,79050.0,"[""100000003148220100"", ""100000006888238100"", ""100000004971871100"", ""100000001852140100""]","Гипотеза: преимущественно внутренний оборот; узлов=4, seed=1; внутри=79050.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
59,4,0,332709.0,"[""100000002513028100"", ""100000004610802100"", ""100000002516862100"", ""100000004780083100""]","Гипотеза: преимущественно внутренний оборот; узлов=4, seed=0; внутри=332709.00, вход=9500.00, выход=0.00 KZT; 4-е колено=3. Только наблюдаемые потоки; роль не установлена."
60,3,1,450000.0,"[""100000002371751100"", ""100000000769919100"", ""100000007018630100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=1; внутри=450000.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
61,3,0,120000.0,"[""100000003221510100"", ""100000001733216100"", ""100000002505277100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=0; внутри=120000.00, вход=24000.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
62,3,0,553830.0,"[""100000003321895100"", ""100000003692843100"", ""100000002371892100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=0; внутри=553830.00, вход=24000.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
63,3,1,390167.62,"[""100000002781227100"", ""100000002796853100"", ""100000008522127100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=1; внутри=390167.62, вход=0.00, выход=13420.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
64,3,0,1557988.0,"[""100000008258458100"", ""100000004035925100"", ""100000008619159100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=0; внутри=1557988.00, вход=19000.00, выход=0.00 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
65,3,1,450816.0,"[""100000004388983100"", ""100000005034574100"", ""100000007283257100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=1; внутри=450816.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
66,3,0,627870.0,"[""100000008628231100"", ""100000004666651100"", ""100000005664632100""]","Гипотеза: преимущественно внутренний оборот; узлов=3, seed=0; внутри=627870.00, вход=50000.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
67,2,0,761255.0,"[""100000000583220100"", ""100000004586598100""]","Гипотеза: преимущественно внутренний оборот; узлов=2, seed=0; внутри=761255.00, вход=5000.00, выход=0.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
68,2,1,30000.0,"[""100000003200071100"", ""100000003980083100""]","Гипотеза: преимущественно внутренний оборот; узлов=2, seed=1; внутри=30000.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
69,2,1,81465.0,"[""100000003865939100"", ""100000005392290100""]","Гипотеза: преимущественно внутренний оборот; узлов=2, seed=1; внутри=81465.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
70,2,0,584900.0,"[""100000008430691100"", ""100000007330432100""]","Гипотеза: преимущественно внутренний оборот; узлов=2, seed=0; внутри=584900.00, вход=20000.00, выход=20000.00 KZT; 4-е колено=1. Только наблюдаемые потоки; роль не установлена."
71,2,0,857500.0,"[""100000008324800100"", ""100000007390016100""]","Гипотеза: преимущественно внутренний оборот; узлов=2, seed=0; внутри=857500.00, вход=180000.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
72,1,1,0.0,"[""100000000456947100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
73,1,1,0.0,"[""100000003265658100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
74,1,1,0.0,"[""100000003349739100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
75,1,1,0.0,"[""100000003770083100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
76,1,1,0.0,"[""100000004021459100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
77,1,1,0.0,"[""100000004174835100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
78,1,1,0.0,"[""100000005017150100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
79,1,1,0.0,"[""100000005087431100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
80,1,1,0.0,"[""100000005235389100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
81,1,1,0.0,"[""100000005480435100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
82,1,1,0.0,"[""100000005495722100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
83,1,1,0.0,"[""100000005550592100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
84,1,1,0.0,"[""100000005560900100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
85,1,1,0.0,"[""100000005568407100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
86,1,1,0.0,"[""100000008117324100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
87,1,1,0.0,"[""100000008205000100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
88,1,1,0.0,"[""100000008513251100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
89,1,1,0.0,"[""100000008669037100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
90,1,1,0.0,"[""100000008701222100""]","Изолированный фрагмент: наблюдаемых переводов нет; узлов=1, seed=1; внутри=0.00, вход=0.00, выход=0.00 KZT; 4-е колено=0. Только наблюдаемые потоки; роль не установлена."
